orig,SC,TC
uni5B3E,uni5B3E-SC,uni5B3E-TC
uni5B4C,uni5B4C-SC,uni5B4C-TC
uni5B6B,uni5B6B-SC,uni5B6B-TC
uni5B7F,uni5B7F-SC,uni5B7F-TC
uni5B82,uni5B82-SC,uni5B82-TC
uni5BBD,uni5BBD-SC,uni5BBD-TC
uni5BD2,uni5BD2-SC,uni5BD2-TC
uni5BD8,uni5BD8-SC,uni5BD8-TC
uni5BE8,uni5BE8-SC,uni5BE8-TC
uni5BEC,uni5BEC-SC,uni5BEC-TC
uni5C0E,uni5C0E-SC,uni5C0E-TC
uni5C34,uni5C34-SC,uni5C34-TC
uni5C37,uni5C37-SC,uni5C37-TC
uni5C6C,uni5C6C-SC,uni5C6C-TC
uni5C6F,uni5C6F-SC,uni5C6F-TC
uni5C91,uni5C91-SC,uni5C91-TC
uni5CAD,uni5CAD-SC,uni5CAD-TC
uni5CBA,uni5CBA-SC,uni5CBA-TC
uni5CBB,uni5CBB-SC,uni5CBB-TC
uni5D50,uni5D50-SC,uni5D50-TC
uni5D6C,uni5D6C-SC,uni5D6C-TC
uni5D6F,uni5D6F-SC,uni5D6F-TC
uni5D73,uni5D73-SC,uni5D73-TC
uni5D74,uni5D74-SC,uni5D74-TC
uni5DBA,uni5DBA-SC,uni5DBA-TC
uni5DC5,uni5DC5-SC,uni5DC5-TC
uni5DCC,uni5DCC-SC,uni5DCC-TC
uni5DCD,uni5DCD-SC,uni5DCD-TC
uni5DD2,uni5DD2-SC,uni5DD2-TC
uni5DD4,uni5DD4-SC,uni5DD4-TC
uni5DD6,uni5DD6-SC,uni5DD6-TC
uni5DE1,uni5DE1-SC,uni5DE1-TC
uni5DE9,uni5DE9-SC,uni5DE9-TC
uni5DEE,uni5DEE-SC,uni5DEE-TC
uni5E06,uni5E06-SC,uni5E06-TC
uni5E54,uni5E54-SC,uni5E54-TC
uni5E7E,uni5E7E-SC,uni5E7E-TC
uni5E90,uni5E90-SC,uni5E90-TC
uni5E95,uni5E95-SC,uni5E95-TC
uni5E9D,uni5E9D-SC,uni5E9D-TC
uni5EC4,uni5EC4-SC,uni5EC4-TC
uni5ECB,uni5ECB-SC,uni5ECB-TC
uni5ED0,uni5ED0-SC,uni5ED0-TC
uni5ED5,uni5ED5-SC,uni5ED5-TC
uni5EE3,uni5EE3-SC,uni5EE3-TC
uni5EE8,uni5EE8-SC,uni5EE8-TC
uni5EF6,uni5EF6-SC,uni5EF6-TC
uni5F4E,uni5F4E-SC,uni5F4E-TC
uni5F5D,uni5F5D-SC,uni5F5D-TC
uni5F5E,uni5F5E-SC,uni5F5E-TC
uni5F6A,uni5F6A-SC,uni5F6A-TC
uni5F6B,uni5F6B-SC,uni5F6B-TC
uni5FA7,uni5FA7-SC,uni5FA7-TC
uni5FAD,uni5FAD-SC,uni5FAD-TC
uni5FAE,uni5FAE-SC,uni5FAE-TC
uni5FB5,uni5FB5-SC,uni5FB5-TC
uni5FBD,uni5FBD-SC,uni5FBD-TC
uni5FF5,uni5FF5-SC,uni5FF5-TC
uni5FF8,uni5FF8-SC,uni5FF8-TC
uni601C,uni601C-SC,uni601C-TC
uni6041,uni6041-SC,uni6041-TC
uni6050,uni6050-SC,uni6050-TC
uni606C,uni606C-SC,uni606C-TC
uni60A4,uni60A4-SC,uni60A4-TC
uni60C5,uni60C5-SC,uni60C5-TC
uni60C6,uni60C6-SC,uni60C6-TC
uni60D7,uni60D7-SC,uni60D7-TC
uni60E7,uni60E7-SC,uni60E7-TC
uni6127,uni6127-SC,uni6127-TC
uni612B,uni612B-SC,uni612B-TC
uni6134,uni6134-SC,uni6134-TC
uni614E,uni614E-SC,uni614E-TC
uni6162,uni6162-SC,uni6162-TC
uni6165,uni6165-SC,uni6165-TC
uni6168,uni6168-SC,uni6168-TC
uni61A8,uni61A8-SC,uni61A8-TC
uni61A9,uni61A9-SC,uni61A9-TC
uni61C8,uni61C8-SC,uni61C8-TC
uni61CA,uni61CA-SC,uni61CA-TC
uni61D2,uni61D2-SC,uni61D2-TC
uni61F2,uni61F2-SC,uni61F2-TC
uni61F5,uni61F5-SC,uni61F5-TC
uni61F6,uni61F6-SC,uni61F6-TC
uni61F7,uni61F7-SC,uni61F7-TC
uni61F8,uni61F8-SC,uni61F8-TC
uni61FD,uni61FD-SC,uni61FD-TC
uni6200,uni6200-SC,uni6200-TC
uni6227,uni6227-SC,uni6227-TC
uni6237,uni6237-SC,uni6237-TC
uni623D,uni623D-SC,uni623D-TC
uni623E,uni623E-SC,uni623E-TC
uni623F,uni623F-SC,uni623F-TC
uni6241,uni6241-SC,uni6241-TC
uni6243,uni6243-SC,uni6243-TC
uni6247,uni6247-SC,uni6247-TC
uni6248,uni6248-SC,uni6248-TC
uni6249,uni6249-SC,uni6249-TC
uni626D,uni626D-SC,uni626D-TC
uni6272,uni6272-SC,uni6272-TC
uni6273,uni6273-SC,uni6273-TC
uni6290,uni6290-SC,uni6290-TC
uni62A4,uni62A4-SC,uni62A4-TC
uni62B5,uni62B5-SC,uni62B5-TC
uni62CE,uni62CE-SC,uni62CE-TC
uni62D0,uni62D0-SC,uni62D0-TC
uni62D4,uni62D4-SC,uni62D4-TC
uni62DF,uni62DF-SC,uni62DF-TC
uni62F4,uni62F4-SC,uni62F4-TC
uni631D,uni631D-SC,uni631D-TC
uni631E,uni631E-SC,uni631E-TC
uni634C,uni634C-SC,uni634C-TC
uni6354,uni6354-SC,uni6354-TC
uni6369,uni6369-SC,uni6369-TC
uni637B,uni637B-SC,uni637B-TC
uni63AE,uni63AE-SC,uni63AE-TC
uni63D2,uni63D2-SC,uni63D2-TC
uni63D9,uni63D9-SC,uni63D9-TC
uni63E4,uni63E4-SC,uni63E4-TC
uni63FD,uni63FD-SC,uni63FD-TC
uni6407,uni6407-SC,uni6407-TC
uni640B,uni640B-SC,uni640B-TC
uni6413,uni6413-SC,uni6413-TC
uni6414,uni6414-SC,uni6414-TC
uni641C,uni641C-SC,uni641C-TC
uni6422,uni6422-SC,uni6422-TC
uni6427,uni6427-SC,uni6427-TC
uni6428,uni6428-SC,uni6428-TC
uni6436,uni6436-SC,uni6436-TC
uni6454,uni6454-SC,uni6454-TC
uni6459,uni6459-SC,uni6459-TC
uni645E,uni645E-SC,uni645E-TC
uni6460,uni6460-SC,uni6460-TC
uni6471,uni6471-SC,uni6471-TC
uni6496,uni6496-SC,uni6496-TC
uni64AE,uni64AE-SC,uni64AE-TC
uni64BB,uni64BB-SC,uni64BB-TC
uni64BE,uni64BE-SC,uni64BE-TC
uni64CE,uni64CE-SC,uni64CE-TC
uni64ED,uni64ED-SC,uni64ED-TC
uni64F3,uni64F3-SC,uni64F3-TC
uni64F4,uni64F4-SC,uni64F4-TC
uni650B,uni650B-SC,uni650B-TC
